,Model,Type,Score,OneVSRest,Parameters,File
0,MLPClassifier,classifier,0.935030198446937,0.9448694995685937,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100, 50, 15), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 400, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",MLPClassifier.pkl
1,MLPRegressor,regressor,0.4478332430836187,,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100, 50, 15), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 400, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",MLPRegressor.pkl
2,SVC,classifier,0.9320783002588439,0.9304400345125108,"{'C': 1000, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",SVC.pkl
3,SVR,regressor,0.5355514503494276,,"{'C': 1000, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",SVR.pkl
4,KNeighborsClassifier,classifier,0.9330522001725626,0.9330522001725625,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",KNeighborsClassifier.pkl
5,KNeighborsRegressor,regressor,0.5933285335763284,,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",KNeighborsRegressor.pkl
6,GaussianNB,classifier,0.734493097497843,0.7361399913718722,"{'priors': None, 'var_smoothing': 1e-07}",GaussianNB.pkl
7,MultinomialNB,classifier,0.7121451682484901,0.7213470664365833,"{'alpha': 0, 'class_prior': None, 'fit_prior': True}",MultinomialNB.pkl
8,ComplementNB,classifier,0.6645707506471096,0.7206902502157032,"{'alpha': 0, 'class_prior': None, 'fit_prior': True, 'norm': False}",ComplementNB.pkl
9,DecisionTreeClassifier,classifier,0.8769424072476273,0.9045038826574633,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 42, 'splitter': 'best'}",DecisionTreeClassifier.pkl
10,DecisionTreeRegressor,regressor,0.5198851921508517,,"{'ccp_alpha': 0.0, 'criterion': 'mae', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': 42, 'splitter': 'best'}",DecisionTreeRegressor.pkl
11,HuberRegressor,regressor,0.5474124616384509,,"{'alpha': 0.0001, 'epsilon': 1.45, 'fit_intercept': True, 'max_iter': 100, 'tol': 1e-05, 'warm_start': False}",HuberRegressor.pkl
12,LinearRegression,regressor,0.5533289397381702,,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': False}",LinearRegression.pkl
13,LogisticRegression,classifier,0.8092946505608284,0.7974816652286454,"{'C': 100.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",LogisticRegression.pkl
14,RidgeClassifier,classifier,0.6967310181190681,0.6967310181190682,"{'alpha': 1.0, 'class_weight': None, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'normalize': False, 'random_state': 42, 'solver': 'auto', 'tol': 0.001}",RidgeClassifier.pkl
15,Ridge,regressor,0.5539719397720922,,"{'alpha': 100.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'normalize': False, 'random_state': 42, 'solver': 'auto', 'tol': 0.001}",Ridge.pkl
16,BayesianRidge,regressor,0.5536204414732703,,"{'alpha_1': 1e-06, 'alpha_2': 1e-06, 'alpha_init': None, 'compute_score': False, 'copy_X': True, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'lambda_init': None, 'n_iter': 300, 'normalize': False, 'tol': 0.001, 'verbose': False}",BayesianRidge.pkl
